ID,CITY,POPULATION,STATE
290.0,Suryapet,115250,Telangana
291.0,Siddipet,114000,Bihar
292.0,Tadipatri,108171,Andhra Pradesh
293.0,Kishanganj,107076,Bihar
294.0,Karaikudi,106714,Tamil Nadu
295.0,Miryalaguda,109891,Telangana
296.0,Jamalpur,105221,Bihar
297.0,Kavali,104000,Andhra Pradesh
298.0,Tadepalligudem,103906,Andhra Pradesh
299.0,Amaravati,103000,Andhra Pradesh
300.0,Buxar,102591,Bihar
301.0,Jehanabad,102456,Bihar
302.0,Aurangabad,101520,Bihar
303.0,Gangtok,100286,Sikkim
